Index,Time,Raw Acceleration X,Raw Acceleration Y,Raw Acceleration Z,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Orientation X,Orientation Y,Orientation Z,Punch Type
0,0,-0.2296295166015625,-0.625946044921875,-0.569366455078125,0.032276007806229856,0.08798102147831488,0.0800283710068217,1.1641441583633423,-0.925082802772522,-1.0574967861175537,-0.6728827981333677,-0.04623764886765884,0.26190552440779236,None
1,0.05,-0.3895416259765625,-0.6642913818359375,-0.6414031982421875,-0.0008587752075020494,-0.0014644826925692689,-0.0014140238884151612,0.3487105965614319,-1.5534988641738892,-0.7084306478500366,-0.6946048350475195,-0.12361210109136404,0.38868285076906045,None
2,0.099,-0.3802642822265625,-0.7067108154296875,-0.5691070556640625,0.006249441149802137,0.011614416229408286,0.009352971652990205,-0.32121211290359497,-0.22771678864955902,-1.0469309091567993,-0.6272040317727172,-0.13490236172983083,0.38651372337636464,None
3,0.149,-0.2024078369140625,-0.663360595703125,-0.611785888671875,0.01645324825712635,0.053922993948760545,0.04973060954551256,-0.5635043978691101,-1.44637930393219,-0.8221364617347717,-0.6779527663738741,-0.20614518776894245,0.21886108517118885,None
4,0.199,-0.269805908203125,-0.62115478515625,-0.7235260009765625,0.00244512624376092,0.00562923872474963,0.006556981738514267,-0.3616940379142761,0.7114107608795166,-0.6810137033462524,-0.7587435653487994,-0.17121559374678813,0.2722510344468859,None
5,0.249,-0.2789764404296875,-0.6235504150390625,-0.633941650390625,0.020371565208467057,0.04553322825816386,0.04629202254285247,-0.7791096568107605,-0.15595898032188416,-0.7543044090270996,-0.7129255892062378,-0.1788931115495025,0.29934800563815456,None
6,0.299,-0.128936767578125,-0.6089019775390625,-0.7728271484375,0.0010012547873025635,0.004728410921575055,0.006001367155893389,-0.2873087525367737,-0.16734132170677185,-0.9258378148078918,-0.7854877884313899,-0.18711884646203722,0.12993802236542756,None
7,0.349,-0.1928253173828125,-0.6497039794921875,-0.734527587890625,0.00011312969417273666,0.0003811782264921959,0.00043094383303676764,0.1584801822900772,-0.9866966605186462,-0.9555504322052002,-0.7490322011430554,-0.23533496476873517,0.19293844707698524,None
8,0.398,-0.15350341796875,-0.61956787109375,-0.8733062744140625,-0.011595006434769128,-0.046799566727372066,-0.0659659048987219,0.9158394932746887,-0.718321681022644,-1.1140679121017456,-0.8155943539692524,-0.2700830463179539,0.14190841153398087,None
9,0.448,-0.1053619384765625,-0.7111358642578125,-0.7636260986328125,-0.004900539862081846,-0.033075982660727754,-0.03551738123068593,0.7699779272079468,-0.9676539897918701,-1.1936596632003784,-0.7318109808159999,-0.31633347318074395,0.10046139861448065,None
10,0.498,-0.070831298828125,-0.6802825927734375,-0.892608642578125,-0.016950877347065206,0.026437772659452352,-0.18717032120379962,0.7297037243843079,0.06564611941576004,-0.9344925880432129,-0.706464535248193,-0.3132180215811353,0.053880421481059794,None
11,0.548,0.0343475341796875,-0.7642974853515625,-0.69580078125,0.0011342792862128956,-0.02523985569396603,-0.02297784782377066,-0.9963521957397461,1.4636170864105225,-0.27762043476104736,-0.6731943430549104,-0.24294321692605844,-0.033213254893474604,None
12,0.598,0.263336181640625,-0.6522216796875,-0.5989990234375,-0.02169926791120058,0.05374397424941246,0.04935835329250704,0.8226837515830994,0.8471469879150391,-0.16652825474739075,-0.6764172082912794,-0.20164925226942232,-0.2850354495518256,None
13,0.648,0.1808929443359375,-0.753875732421875,-0.6175537109375,-0.0016110040383565116,0.0067138983989070145,0.005499835971350842,1.7290610074996948,-0.2188897430896759,-0.08944199979305267,-0.6336964016625761,-0.21235662472685382,-0.182503948374294,None
14,0.698,0.0345611572265625,-0.6568450927734375,-0.7531890869140625,-0.0000011448928730686814,0.000021759030245926958,0.000024950577089621895,2.762485980987549,1.802768349647522,0.36191266775131226,-0.7536643178856387,-0.12353118429395138,-0.03456230211943557,None
15,0.747,0.141510009765625,-0.8135528564453125,-0.17633056640625,-0.026079457410036394,0.1499329772192055,0.032496679947205176,2.588794469833374,-0.2419697493314743,0.5996498465538025,-0.21182308756373383,-0.1355276720874369,-0.1675894671756614,None
16,0.797,0.0880126953125,-0.8795166015625,-0.0536041259765625,-0.011376794559572023,0.11368904965563997,0.006929035937547887,3.29351806640625,-3.094653606414795,0.06166283041238785,-0.060834376852067884,-0.2866025282932865,-0.09938948987207202,None
17,0.847,0.0023956298828125,-0.8431396484375,0.1190185546875,-0.000417786807586066,0.14703966777054556,-0.020756287255867756,0.9031809568405151,-1.954317569732666,0.13663454353809357,0.1397753951274966,-0.37870306558860495,-0.002813416690398566,None
18,0.897,0.1309661865234375,-0.81536865234375,0.0927734375,-0.026631770206011512,0.16580394649055474,-0.018865334131719577,-1.4948978424072266,0.46080994606018066,0.1971181333065033,0.11305153609286105,-0.3572800364952595,-0.157597956729449,None
19,0.947,0.097747802734375,-0.930816650390625,-0.1793212890625,-0.004825159549755029,0.04594823335219422,0.008851900566456405,-2.2007362842559814,0.3568744957447052,0.2664564549922943,-0.1891709750693155,-0.34055805272258677,-0.10257296228413003,None
20,0.997,0.0189666748046875,-0.963836669921875,-0.385650634765625,0.0006996311425440035,-0.03555341975055071,-0.014225645612757132,-2.2251570224761963,-0.42455101013183594,-0.16442862153053284,-0.37148697411812254,-0.3604384691083845,-0.018267043662143496,None
21,1.047,-0.0003204345703125,-0.8694610595703125,-0.6906585693359375,-0.03440476978509923,0.015446436616036396,-0.22614055968919305,-2.0557029247283936,0.11792610585689545,-0.3164575695991516,-0.4647880699940445,-0.35493226212639917,-0.03408433521478673,None
22,1.096,-0.06927490234375,-0.8011627197265625,-0.8025360107421875,-0.09962621527507795,0.025615578166572894,-0.2408275063235038,-2.267343044281006,1.1570305824279785,0.074699267745018,-0.5619674068626221,-0.30028371480841837,-0.030351312931327944,None
23,1.146,0.0001373291015625,-0.727874755859375,-0.7584381103515625,0.000006689292980839313,-0.03545473930799936,-0.03694347862362424,-1.1184136867523193,1.3339989185333252,0.2663128972053528,-0.721494637884726,-0.23604142386041613,-0.0001306398085816607,None
24,1.196,-0.023590087890625,-0.7417144775390625,-0.737518310546875,-0.0010427193999857781,-0.032784959452722084,-0.03259948219852071,-0.37660694122314453,0.933073878288269,0.3094518482685089,-0.7050980813636865,-0.19046563437737826,0.022547368490639222,None
25,1.246,-0.0229339599609375,-0.7786865234375,-0.5818023681640625,0.0006533019722199211,0.022181840483251336,0.016573353891399467,-0.20461918413639069,0.43055564165115356,0.24690912663936615,-0.5985422473814581,-0.16928944164766305,0.02358726193315742,None
26,1.296,0.00274658203125,-0.742401123046875,-0.5874786376953125,-0.00015454223372600093,0.0417727657761382,0.0330557252260264,0.02443690039217472,0.003995540551841259,0.14922650158405304,-0.6205369743083818,-0.169092544749288,-0.002901124264976001,None
27,1.346,0.002685546875,-0.7200775146484375,-0.616363525390625,-0.00014775172085436383,0.0396167696524905,0.033910698932904326,-0.26716646552085876,0.07431551069021225,0.0806644856929779,-0.6502768344037261,-0.16542911681971145,-0.002833298595854364,None
28,1.395,0.0261993408203125,-0.7177581787109375,-0.6483612060546875,-0.0008774893511736964,0.024039733016808063,0.02171543390839925,-0.20541627705097198,0.06574146449565887,0.14064180850982666,-0.6703224100417097,-0.16218644605320995,-0.027076830171486196,None
29,1.445,0.000640869140625,-0.749420166015625,-0.691162109375,0.000012244554677159794,-0.014318549009857628,-0.013205460682300774,-0.13400866091251373,-0.025968216359615326,0.09600642323493958,-0.6779567826464203,-0.1634675290097769,-0.0006286245859478402,None
30,1.495,0.01092529296875,-0.757232666015625,-0.7435455322265625,0.0006311426715419691,-0.043744533823940945,-0.042953842516157414,0.20293153822422028,0.0075934710912406445,0.004688761197030544,-0.7006288133470717,-0.1630929507793381,-0.010294150297208031,None
31,1.545,0.015655517578125,-0.7867889404296875,-0.6993255615234375,0.0007848219543721627,-0.03944227527611277,-0.03505767542965965,0.13383182883262634,0.046669233590364456,-0.1350097507238388,-0.6643413455766615,-0.16079029056468566,-0.014870695623752837,None
32,1.595,0.0226287841796875,-0.792266845703125,-0.6822509765625,0.00099068926609144,-0.03468548083209688,-0.029868980758921415,0.1989719569683075,-0.029043102636933327,-0.3546195924282074,-0.6525347744126696,-0.16222338107757017,-0.02163809491359606,None
33,1.645,0.0497894287109375,-0.77294921875,-0.6898651123046875,0.0017870651090276732,-0.027743049391022234,-0.024760956372739784,0.2596675157546997,-0.07110453397035599,-0.5170881152153015,-0.6658717581817659,-0.1657304828445342,-0.04800236360190983,None
