Index,Time,Acceleration X,Acceleration Y,Acceleration Z,Orientation X,Orientation Z,Punch,Raw Acceleration X,Raw Acceleration Y,Raw Acceleration Z
0,0.0,-0.695799583387272,-0.17199602279335613,-0.33665881482744564,-0.8905140330333292,-0.2905108870982095,,-0.4052886962890625,-0.607330322265625,-1.1887664794921875
1,0.05,-0.0035235953029011113,-0.013142370207811505,-0.01912034154584863,-0.8240995594195858,0.1501476693455364,,-0.1536712646484375,-0.5731658935546875,-0.8338775634765625
2,0.1,0.012225692234777708,0.03445337320611086,0.038079327973384425,-0.7415295022151556,0.2316013025863402,,-0.2193756103515625,-0.61822509765625,-0.68328857421875
3,0.15,0.03315587368867909,0.2053950947261305,0.13543015457912266,-0.550472363314235,0.1335587057199291,,-0.10040283203125,-0.621978759765625,-0.4101104736328125
4,0.199,-0.011022877346957498,0.18377090263997786,0.15429133875933954,-0.6430058320851174,-0.04588921035477,,0.0348663330078125,-0.5812835693359375,-0.488037109375
5,0.249,0.00040185819141189995,0.15194186456894443,0.11470539751114783,-0.6025149673515228,0.0021108425664119,,-0.001708984375,-0.6461639404296875,-0.4878082275390625
6,0.299,-0.3040066618507021,0.026670923186081663,-0.37994234280157824,-0.600904631808474,-0.0095272917335146,,-0.2944793701171875,-0.772613525390625,-0.9808197021484376
7,0.349,-0.3041655305601345,0.059116807026774465,-0.6136856118905442,-0.5383533038656421,-0.0376555207945095,,-0.266510009765625,-0.7830047607421875,-1.1516571044921875
8,0.399,-0.004243756708260105,-0.02217893058347664,-0.021973850632720726,-0.7038148338188516,0.1346875177058024,,-0.1389312744140625,-0.7260894775390625,-0.7193756103515625
9,0.449,-0.014572217189715395,0.1961811279406388,0.10107390370719671,-0.4579956161158185,-0.0658875248069029,,0.0513153076171875,-0.6908416748046875,-0.355926513671875
10,0.499,0.02089918323694831,0.10964170921374439,0.07390179475245418,-0.5589201198616643,0.1561225719088233,,-0.135223388671875,-0.70941162109375,-0.4781646728515625
11,0.548,-0.33346880063967244,-0.12575779739556814,0.2750710698902994,-0.5274074898849733,0.1786619366650151,,-0.5121307373046875,-0.961700439453125,-0.2438507080078125
12,0.598,-0.4331133902145477,-0.20109304454272636,0.0875097305951974,-0.5385546706619341,0.1472393929885773,,-0.580352783203125,-1.0345001220703125,-0.4451751708984375
13,0.648,0.017942997367377006,0.11258442029270288,0.04100174732531203,-0.3421997325965264,0.148100468070502,,-0.130157470703125,-0.816680908203125,-0.29742431640625
14,0.698,-0.11744978331263839,0.34104780622265496,0.018531080839984213,-0.0542556955653635,-0.3251829376095134,,0.207733154296875,-0.60321044921875,-0.03277587890625
15,0.748,-0.05546220597554999,0.21112793052700718,0.07462528811609953,-0.3332551025413241,-0.2404139882021125,,0.1849517822265625,-0.7040557861328125,-0.2488555908203125
16,0.847,-0.9589877541082334,-1.143626455587969,-0.07449656584157394,-0.1334489361756942,-0.275287192584796,,-0.6837005615234375,-2.0963897705078125,-0.202789306640625
17,0.897,0.04240274136016897,-0.05516915811376821,-0.0026601668274307336,-0.0481624125077796,-0.6089491873507685,,0.6513519287109375,-0.8474578857421875,-0.040863037109375
18,1.001,1.713888424769869,2.4092481787114677,-0.04003929806296974,0.2628746799670369,-0.6472718535504436,,2.3611602783203125,1.673797607421875,0.16033935546875
19,1.166,-2.5118501713742027,1.8011926777385656,2.100698027928284,0.1802166201202649,-0.8064516118038904,Straight,-1.7053985595703125,1.219573974609375,2.2072601318359375
20,1.216,-2.8617776960249937,0.8860017115982566,0.9110577992281806,-0.0028984334140742,-0.8966898053999935,,-1.965087890625,0.4433441162109375,0.9097747802734376
21,1.266,-1.0712933746522162,0.02340678273775143,0.7273159092135634,-0.2117892723332854,-0.9633069244569038,,-0.1079864501953125,-0.2389068603515625,0.67047119140625
22,1.316,0.0018484551490784984,0.05337689310694893,-0.06311704144457919,0.7635642286821241,0.0223562676490785,,-0.0205078125,-0.592193603515625,0.70025634765625
23,1.366,0.8178421568211875,0.41543046708043996,0.013652506377441198,0.6951911533025502,-0.1454909730616249,,0.9633331298828124,-0.295745849609375,0.701446533203125
24,1.416,0.6755940747230292,0.4327443222596177,-0.6599594481658403,0.6109550974986881,-0.2402231860191584,,0.9158172607421876,-0.3357391357421875,-0.06689453125
25,1.465,0.7807956068264073,0.39084968397803355,-0.3017216131502076,0.6518881109297098,-0.2852139146579678,,1.066009521484375,-0.335968017578125,0.323089599609375
26,1.515,0.5100909783221119,0.26989531974462044,0.20042151052970436,0.6777595040107971,-0.2812908576153881,,0.7913818359375,-0.435699462890625,0.8508148193359375
27,1.565,0.03910793415939873,-0.03246198203249351,0.028613838677727044,0.661243620996858,-0.6705020511921638,,0.7096099853515625,-0.589019775390625,0.519195556640625
28,1.615,-0.0654885089065777,0.18975589195451703,-0.10050759015650035,0.4680644518193434,-0.2917153155472027,,0.226226806640625,-0.6555023193359375,0.347198486328125
29,1.665,0.18738340553100302,0.16994090465192002,0.3087428933745924,0.4905835635537455,-0.262293108140872,,0.449676513671875,-0.6709442138671875,0.7821502685546875
30,1.715,0.0022883226994034056,-0.011849388273715178,0.003614729759360946,0.2917816938874976,-0.1816411206599716,,0.183929443359375,-0.952423095703125,0.2905426025390625
31,1.824,-0.2575832431812111,-1.2434151481540172,-0.09048734521306906,0.267034077716384,-0.2581478183765236,,0.0005645751953125,-2.1744384765625,0.1674957275390625
32,1.874,1.7536326024120485,0.5438325099998783,0.5868675796934537,0.3728659332848543,-0.4084309962207639,,2.1620635986328125,-0.303131103515625,0.927215576171875
