Index,Time,Acceleration X,Acceleration Y,Acceleration Z,Orientation X,Orientation Z,Punch Type,Raw Acceleration X,Raw Acceleration Y,Raw Acceleration Z
0,0.0,-0.3300096476025584,-0.028002429773390514,-0.018981706288663802,-0.5610977125319788,-0.1622240030713084,,-0.16778564453125,-0.84478759765625,-0.5726470947265625
1,0.05,0.0015693632431189042,0.010398683887938853,0.0058926061551159425,-0.4930137511050143,0.1301856962509314,,-0.1286163330078125,-0.8522186279296875,-0.4829254150390625
2,0.099,-0.004940271175211813,-0.02809911169476531,-0.017063401096774067,-0.5190498363371455,0.1486089231607257,,-0.1535491943359375,-0.87335205078125,-0.5303497314453125
3,0.149,0.0006758955678599077,0.004242474699615251,0.0015074878844958395,-0.3348228211650951,0.1484572676381724,,-0.1477813720703125,-0.9275970458984376,-0.3296051025390625
4,0.199,-0.015694778366513507,-0.08087075814101963,-0.0411378423042274,-0.4533965749596433,0.170447189406924,,-0.1861419677734375,-0.959136962890625,-0.4878997802734375
5,0.249,0.0008741999555481883,0.004225404479755057,0.001454208069767815,-0.3254250324114494,0.1919905329633607,,-0.1911163330078125,-0.9237518310546876,-0.3179168701171875
6,0.299,-0.008221482856050788,-0.04150711808502827,-0.009243863111052408,-0.2173799489452037,0.1898223403861367,,-0.1980438232421875,-0.999847412109375,-0.2226715087890625
7,0.349,-0.005107582298052582,-0.03335519334044745,-0.01991140159220528,-0.5125691770985256,0.1303599469988224,,-0.135467529296875,-0.884674072265625,-0.528106689453125
8,0.398,-0.005294228023732306,-0.0470930699707659,-0.028023816407769297,-0.5113791240588754,0.0961614604528302,,-0.1014556884765625,-0.9024658203125,-0.5370330810546875
9,0.448,-0.0006694070278930007,-0.041698872290331646,-0.034752595842442724,-0.6402228385431945,0.012331081253357,,-0.01300048828125,-0.8098297119140625,-0.6749267578125
10,0.498,0.003852051060261298,-0.06954942748816673,-0.06702488145460872,-0.6939175268043296,-0.0398491208147387,,0.043701171875,-0.789031982421875,-0.7603912353515625
11,0.548,-0.001099196757931603,0.015656550148943738,0.011333565037111026,-0.5863761875320844,-0.0567785180469941,,0.0556793212890625,-0.7930755615234375,-0.5740966796875
12,0.598,-0.006098683112912007,0.09427758329133873,0.020020122098925314,-0.2077211177011781,-0.0631512954175995,,0.0570526123046875,-0.8819580078125,-0.187286376953125
13,0.648,-0.003662749370520496,0.05107835527560722,0.017671389232146062,-0.3269522794750624,-0.067612334331458,,0.0639495849609375,-0.8917999267578125,-0.30853271484375
14,0.697,-0.004115977307949603,0.04187075591469969,0.021561936313186314,-0.4578249118681582,-0.0870627546516996,,0.08294677734375,-0.8437957763671875,-0.4345245361328125
15,0.747,0.0024934359116092902,-0.021525647300173034,-0.016710694530028825,-0.6132206809342194,-0.0911192349868282,,0.0936126708984375,-0.8081512451171875,-0.62738037109375
16,0.797,-0.003624918767806601,0.027289219517606766,0.01775920781553164,-0.5454463287043412,-0.1106500652521816,,0.107025146484375,-0.8057098388671875,-0.5243377685546875
17,0.847,-0.0070086808441846005,0.05665805458194939,0.02458904146676194,-0.3981146972095798,-0.1127520890473096,,0.105743408203125,-0.854827880859375,-0.3709869384765625
18,0.897,-0.0005361044539724941,0.007247388806227106,0.00359606593951306,-0.4444795711282605,-0.0661183798445975,,0.065582275390625,-0.8865814208984375,-0.439910888671875
19,0.947,-0.004898772574669308,0.02212931074593949,0.011804353224977027,-0.4706519982417115,-0.1916968682777943,,0.186798095703125,-0.8438262939453125,-0.4501190185546875
20,0.997,-0.0016295970736771026,0.010316938635037798,0.00478804991303744,-0.4209697300772199,-0.1418273509799271,,0.14019775390625,-0.8875885009765625,-0.41192626953125
21,1.046,-0.000923651253203997,0.013727849285111171,0.007713967469173855,-0.4898777813412816,-0.0585560975422665,,0.0576324462890625,-0.8565673828125,-0.4813232421875
22,1.096,-0.010319289062612702,0.050617682565955446,0.030289159372534735,-0.513480106276968,-0.1723218525391752,,0.1620025634765625,-0.794647216796875,-0.4755096435546875
23,1.146,-0.029549847408365693,0.09535994734038455,0.04169706902671405,-0.4006340826854953,-0.2731258972130532,,0.2435760498046875,-0.786041259765625,-0.3437042236328125
24,1.196,-0.008806130091590397,0.03404120241623487,0.016502938144473955,-0.436233113939667,-0.2267168966931529,,0.2179107666015625,-0.8423614501953125,-0.4083709716796875
25,1.246,-0.007120975466107904,0.022220461218432463,0.00960510097677747,-0.3967807411326529,-0.2822064246848579,,0.27508544921875,-0.8583831787109375,-0.3710479736328125
26,1.296,0.004634599733743305,-0.009462044223827903,-0.004169413047568404,-0.4032339137252289,-0.4090159129615692,,0.4136505126953125,-0.844512939453125,-0.37213134765625
27,1.345,-0.01337671262998702,-0.10237959153522946,-0.06206669932802139,-0.3652524808578814,-0.384562015364362,,0.371185302734375,-0.961700439453125,-0.39923095703125
28,1.395,0.05366654655525421,-0.16943049434476976,-0.09606472518529141,-0.3441472733813662,-0.3628068421166208,,0.416473388671875,-1.04437255859375,-0.4167633056640625
29,1.445,0.0669844925479951,-0.3072336890032671,-0.3857088802088884,-0.2806901347143789,-0.3453995406551299,,0.412384033203125,-1.2079620361328125,-0.6491241455078125
30,1.495,0.2256235705601803,-0.31767861862117985,-0.4829921393834974,-0.1421605611015286,-0.3206715954554447,,0.546295166015625,-1.2552490234375,-0.617645263671875
31,1.545,0.327813493143819,-0.44132574979864014,-0.36231496130120944,0.0650209409364835,-0.303900374043681,,0.6317138671875,-1.3920135498046875,-0.3003692626953125
32,1.595,1.0270738447111027,-0.2599294823223083,-0.3314751760938209,0.3851386586787395,-0.2359876787263972,,1.2630615234375,-1.1567230224609375,0.04278564453125
33,1.849,1.0723580599268325,3.6368025740937098,-0.9211093123772064,-0.0183844885940974,-0.286940646127855,Straight,1.3592987060546875,2.67901611328125,-0.938720703125
34,1.899,-0.1341541264757093,1.2482307390422547,0.33144048727302744,0.1828943319591987,-0.2239521001085218,,0.0897979736328125,0.290069580078125,0.5096893310546875
35,1.948,-1.1455100251637755,0.842229067024468,1.2723658370716282,0.16243518415361,-0.1972373200856506,,-0.948272705078125,-0.1251068115234375,1.431610107421875
36,1.998,-0.6300113506279406,0.9173697110448693,0.6756393257509639,0.1694858319000881,-0.2139194316826281,,-0.4160919189453125,-0.04534912109375,0.8412017822265625
37,2.048,-0.9002298441494709,0.7527203118131697,0.8273978904965835,0.1348589547922835,-0.250358017977596,,-0.649871826171875,-0.2065887451171875,0.9579620361328124
38,2.098,-0.9224439295677497,0.7250286607767757,0.7249707685447169,0.0715415948096565,-0.3134198817161872,,-0.6090240478515625,-0.2221527099609375,0.79290771484375
39,2.148,-1.3836336063135488,0.5962289884446446,0.6950781584119309,0.0010284495760621,-0.4138460086572988,,-0.96978759765625,-0.314117431640625,0.696014404296875
40,2.198,-1.7182191318114042,0.45443602908556,0.8997490582761132,-0.212616461851113,-0.5648835605223417,,-1.1533355712890625,-0.35186767578125,0.72430419921875
41,2.247,-1.866657364325617,0.34682043775450366,0.9577289430017769,-0.4378273910735212,-0.738147842841242,,-1.128509521484375,-0.2597198486328125,0.662353515625
42,2.297,-1.1887080036124225,0.13697387850367004,0.956651157269909,-0.6495997568641627,-0.8661066852530476,,-0.322601318359375,-0.2430572509765625,0.6319427490234375
43,2.347,-0.0157060381928585,0.1698036309930232,-0.04293765167649655,0.2451503100437067,-0.0893144366303585,,0.0736083984375,-0.795806884765625,0.20123291015625
44,2.397,0.2111756206692191,-0.23439979310769798,0.35345571725508096,0.2440559858072421,-0.1838133930026559,,0.394989013671875,-1.1876373291015625,0.593353271484375
45,2.447,0.05478321014581691,-0.21693480945450538,0.2784009463924051,0.267774592436432,-0.2443958670026206,,0.2991790771484375,-1.1511993408203125,0.538055419921875
46,2.497,0.040780370901854324,-0.0686892598787685,0.05084314553226288,0.594941999721162,-0.4306704347622082,,0.4714508056640625,-0.794097900390625,0.5877838134765625
47,2.547,-0.012585708901604709,0.015640959266705057,-0.012178806937524267,0.6143685077952604,-0.5359926913234797,,0.523406982421875,-0.6504669189453125,0.5064849853515625
48,2.596,-0.02050531209735551,0.03574069516302103,-0.015270450466727592,0.3928976361131271,-0.466626527917668,,0.4461212158203125,-0.777587890625,0.3322296142578125
49,2.646,-0.026125799335640187,0.05395584513744145,-0.012854602877511584,0.2317565605623723,-0.4261196958200152,,0.399993896484375,-0.826080322265625,0.196807861328125
50,2.696,-0.0054262251485532875,0.01310347850990834,-0.0002931255037153177,0.0223644575130182,-0.3825166792501158,,0.3770904541015625,-0.910614013671875,0.0203704833984375
51,2.746,0.003000748526582775,-0.0064540165805933025,0.0003248166168965602,0.0502642083850169,-0.4211630698327922,,0.424163818359375,-0.91229248046875,0.0459136962890625
